sample_name,pop,country,sex,stage,latitude,longitude,collector,catching_method,host_plant_genus,date,notes,,,
CHS012,Cheshire,UK,M,adult,53.19558,-1.99397,Julian Borrow,by_hand,betula,22/11/2025,,,,
CHS05,Cheshire,UK,M,adult,53.3014,-2.6992,David Urban,by_hand,betula,10/11/2025,,,,
CHS08,Cheshire,UK,M,adult,53.3014,-2.6992,David Urban,by_hand,betula,27/11/2025,,,,
CHS12,Cheshire,UK,F,adult,53.19558,-1.99397,Julian Borrow,by_hand,betula,22/11/2025,,,,
CHS14,Cheshire,UK,F,adult,53.19558,-1.99397,Julian Borrow,by_hand,betula,27/11/2025,,,,
CHS8,Cheshire,UK,F,adult,53.3014,-2.6992,David Urban,by_hand,betula,27/11/2025,,,,
CMB022,Cumberland,UK,M,adult,55.01747,-2.79131,Rob Pickett,by_hand,betula,06/12/2025,,,,
CMB027,Cumberland,UK,M,adult,55.01747,-2.79131,Rob Pickett,by_hand,pinus,06/12/2025,,,,
CMB028,Cumberland,UK,M,adult,54.94616,-2.69624,Rob Pickett,by_hand,quercus,08/12/2025,,,,
CMB22,Cumberland,UK,F,adult,55.01747,-2.79131,Rob Pickett,by_hand,betula,06/12/2025,,,,
CMB26,Cumberland,UK,F,adult,55.01747,-2.79131,Rob Pickett,by_hand,betula,06/12/2025,,,,
CMB28,Cumberland,UK,F,adult,54.94616,-2.69624,Rob Pickett,by_hand,quercus,08/12/2025,,,,
CMN01,Clackmannanshire,UK,M,adult,56.15801,-3.73235,Kenneth Brown,by_hand,acer,26/11/2025,,,,
CMN04,Clackmannanshire,UK,M,adult,56.15801,-3.73235,Kenneth Brown,by_hand,acer,26/11/2025,,,,
CMN08,Clackmannanshire,UK,M,adult,56.15801,-3.73235,Kenneth Brown,by_hand,acer,01/12/2025,,,,
CMN1,Clackmannanshire,UK,F,adult,56.15801,-3.73235,Kenneth Brown,by_hand,acer,26/11/2025,,,,
CMN4,Clackmannanshire,UK,F,adult,56.15801,-3.73235,Kenneth Brown,by_hand,acer,26/11/2025,,,,
CMN9,Clackmannanshire,UK,F,adult,56.15801,-3.73235,Kenneth Brown,by_hand,acer,01/12/2025,,,,
CTH02,Caithness,UK,M,adult,58.70189,-3.63254,Lucas Innes,by_hand,NA,23/12/2025,,,,
CTH05,Caithness,UK,M,adult,58.70189,-3.63254,Lucas Innes,by_hand,NA,23/12/2025,,,,
CTH09,Caithness,UK,M,adult,58.70189,-3.63254,Lucas Innes,by_hand,NA,23/12/2025,,,,
DEV02,Devon,UK,M,adult,50.53767,-3.8429,Barry Henwood,by_hand,quercus,01/01/2026,,,,
DEV06,Devon,UK,M,adult,50.53767,-3.8429,Barry Henwood,by_hand,quercus,01/01/2026,,,,
DEV2,Devon,UK,F,adult,50.53767,-3.8429,Barry Henwood,by_hand,quercus,01/01/2026,,,,
DEV4,Devon,UK,F,adult,50.53767,-3.8429,Barry Henwood,by_hand,quercus,01/01/2026,,,,
DEV5,Devon,UK,F,adult,50.53767,-3.8429,Barry Henwood,by_hand,rubus,01/01/2026,,,,
DUM01,Dumfriesshire,UK,M,adult,55.12624,-3.60896,Richard Mearns,lobster_pot_trap,quercus,03/12/2025,,,,
DUM01,Dumfriesshire,UK,M,adult,55.12624,-3.60896,Richard Mearns,light,NA,03/12/2025,,,,
DUM04,Dumfriesshire,UK,M,adult,55.12624,-3.60896,Richard Mearns,by_hand,quercus,12/12/2025,,,,
DUM07,Dumfriesshire,UK,M,adult,55.12624,-3.60896,Richard Mearns,by_hand,quercus,15/12/2025,,,,
DUM07,Dumfriesshire,UK,M,adult,55.12624,-3.60896,Richard Mearns,lobster_pot_trap,quercus,15/12/2025,,,,
DUM1,Dumfriesshire,UK,F,adult,55.12624,-3.60896,Richard Mearns,lobster_pot_trap,quercus,03/12/2025,,,,
DUM1,Dumfriesshire,UK,F,adult,55.12624,-3.60896,Richard Mearns,light,NA,03/12/2025,,,,
DUM2,Dumfriesshire,UK,F,adult,55.12624,-3.60896,Richard Mearns,light,NA,08/12/2025,,,,
DUM2,Dumfriesshire,UK,F,adult,55.12624,-3.60896,Richard Mearns,lobster_pot_trap,quercus,08/12/2025,,,,
DUM7,Dumfriesshire,UK,F,adult,55.12624,-3.60896,Richard Mearns,by_hand,quercus,15/12/2025,,,,
DUM7,Dumfriesshire,UK,F,adult,55.12624,-3.60896,Richard Mearns,lobster_pot_trap,quercus,15/12/2025,,,,
ESX01,Essex,UK,M,adult,51.65338,0.318731,Robbie Legg,by_hand,quercus,11/12/2025,,,,
ESX01,Essex,UK,M,adult,51.65338,0.318731,Robbie Legg,by_hand,NA,11/12/2025,,,,
ESX06,Essex,UK,M,adult,51.65338,0.318731,Robbie Legg,by_hand,acer,12/12/2025,,,,
ESX09,Essex,UK,M,adult,51.65338,0.318731,Robbie Legg,by_hand,NA,14/12/2025,,,,
ESX3,Essex,UK,F,adult,51.65338,0.318731,Robbie Legg,by_hand,quercus,11/12/2025,,,,
ESX8,Essex,UK,F,adult,51.65338,0.318731,Robbie Legg,by_hand,quercus,14/12/2025,,,,
ESX8,Essex,UK,F,adult,51.65338,0.318731,Robbie Legg,by_hand,NA,14/12/2025,,,,
ESX9,Essex,UK,F,adult,51.65338,0.318731,Robbie Legg,by_hand,NA,14/12/2025,,,,
GLO028,Gloucestershire,UK,M,adult,51.95461,-2.29971,Stephen French,light,NA,22/12/2025,,,,
HMP01,Hampshire,UK,M,adult,51.32862,-0.8173,Ben Dale,by_hand,NA,04/12/2025,,,,
HMP03,Hampshire,UK,M,adult,51.32862,-0.8173,Ben Dale,by_hand,NA,04/12/2025,,,,
HMP04,Hampshire,UK,M,adult,51.32862,-0.8173,Ben Dale,by_hand,NA,04/12/2025,,,,
HMP1,Hampshire,UK,F,adult,51.32862,-0.8173,Ben Dale,by_hand,NA,04/12/2025,,,,
HMP4,Hampshire,UK,F,adult,51.32862,-0.8173,Ben Dale,by_hand,NA,04/12/2025,,,,
